City,Administrative Division,Country,Full,Map
Dornogovi,Mongolia,,"Dornogovi, Mongolia",https://en.wikipedia.org/wiki/File:Dornogovi_in_Mongolia.svg
Douala,,,Douala,
Draa-Tafilalet,Morocco,,"Draa-Tafilalet, Morocco",https://en.wikipedia.org/wiki/File:Dr%C3%A2a-Tafilalet_in_Morocco_(Morocco_view).svg
Dubai,,,Dubai,
Dublin,,,Dublin,
Dundo,Lunda Norte,Angola,"Dundo, Lunda Norte, Angola",https://en.wikipedia.org/wiki/File:Lunda_Norte_in_Angola.svg
Durango,Mexico,,"Durango, Mexico",https://en.wikipedia.org/wiki/File:Durango_in_Mexico_(location_map_scheme).svg
Durban,KwaZulu-Natal,South Africa,"Durban, KwaZulu-Natal, South Africa",https://en.wikipedia.org/wiki/File:KwaZulu-Natal_in_South_Africa.svg
Dushanbe,,,Dushanbe,
Dusmare,Galmudug,Somalia,"Dusmare, Galmudug, Somalia",https://en.wikipedia.org/wiki/File:Galmudugmap.png
East,Cameroon,,"East, Cameroon",https://en.wikipedia.org/wiki/File:Cameroon_-_East.svg
East Kalimantan,Indonesia,,"East Kalimantan, Indonesia",https://en.wikipedia.org/wiki/File:East_Kalimantan_in_Indonesia.svg
Eastern,Saudi Arabia,,"Eastern, Saudi Arabia",https://en.wikipedia.org/wiki/File:Ash_Sharqiyah_in_Saudi_Arabia.svg
Eastern,Zambia,,"Eastern, Zambia",https://en.wikipedia.org/wiki/File:Eastern_in_Zambia.svg
Eastern Cape,South Africa,,"Eastern Cape, South Africa",https://en.wikipedia.org/wiki/File:Eastern_Cape_in_South_Africa.svg
Edmonton,Alberta,Canada,"Edmonton, Alberta, Canada",https://en.wikipedia.org/wiki/File:Alberta_in_Canada.svg
Efate,,,Efate,
Egypt,,,Egypt,
Eirunepe,,,Eirunepe,
El Aaiun,,,El Aaiun,
El Salvador,,,El Salvador,
El-Obeid,North Kordofan,Sudan,"El-Obeid, North Kordofan, Sudan",https://en.wikipedia.org/wiki/File:North_Kurdufan_in_Sudan_(Kafia_Kingi_disputed).svg
England,United Kingdom,,"England, United Kingdom",https://en.wikipedia.org/wiki/File:England_in_United_Kingdom.svg
Ennedi-Est,Chad,,"Ennedi-Est, Chad",https://en.wikipedia.org/wiki/File:Ennedi_Est_map.svg
Ennedi-Ouest,Chad,,"Ennedi-Ouest, Chad",https://en.wikipedia.org/wiki/File:Ennedi_Ouest_map.svg
Equateur,Congo-Kinshasa,,"Equateur, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_%C3%89quateur.svg
Errachidia,Draa-Tafilalet,Morocco,"Errachidia, Draa-Tafilalet, Morocco",https://en.wikipedia.org/wiki/File:Dr%C3%A2a-Tafilalet_in_Morocco_(Morocco_view).svg
Ethiopia,,,Ethiopia,
Fada,Ennedi-Ouest,Chad,"Fada, Ennedi-Ouest, Chad",https://en.wikipedia.org/wiki/File:Ennedi_Ouest_map.svg
Famagusta,,,Famagusta,
Fargo,North Dakota,United States,"Fargo, North Dakota, United States",https://en.wikipedia.org/wiki/File:North_Dakota_in_United_States.svg
Faroe,,,Faroe,
Fars,Iran,,"Fars, Iran",https://en.wikipedia.org/wiki/File:Fars_in_Iran.svg
Faya-Largeau,Borkou,Chad,"Faya-Largeau, Borkou, Chad",https://en.wikipedia.org/wiki/File:Borkou_map.svg
Fiji,,,Fiji,
Filadelfia,Boqueron,Paraguay,"Filadelfia, Boqueron, Paraguay",https://en.wikipedia.org/wiki/File:Boqueron_in_Paraguay.svg
Finland,,,Finland,
Florencia,Caqueta,Colombia,"Florencia, Caqueta, Colombia",https://en.wikipedia.org/wiki/File:Caqueta_in_Colombia.svg
Florianopolis,Santa Catarina,Brazil,"Florianopolis, Santa Catarina, Brazil",https://en.wikipedia.org/wiki/File:Santa_Catarina_in_Brazil.svg
Florida,United States,,"Florida, United States",https://en.wikipedia.org/wiki/File:Florida_in_United_States.svg
Fortaleza,Ceara,Brazil,"Fortaleza, Ceara, Brazil",https://en.wikipedia.org/wiki/File:Ceara_in_Brazil.svg
France,,,France,
Frankfort,Kentucky,United States,"Frankfort, Kentucky, United States",https://en.wikipedia.org/wiki/File:Kentucky_in_United_States.svg
Free State,South Africa,,"Free State, South Africa",https://en.wikipedia.org/wiki/File:Free_State_in_South_Africa.svg
Freetown,,,Freetown,
French Guiana,France,,"French Guiana, France",https://en.wikipedia.org/wiki/File:French_Guiana_in_France_2016.svg
Fuerte Olimpo,Alto Paraguay,Paraguay,"Fuerte Olimpo, Alto Paraguay, Paraguay",https://en.wikipedia.org/wiki/File:Alto_Paraguay_in_Paraguay.svg
Fujian,China,,"Fujian, China",https://en.wikipedia.org/wiki/File:Fujian_in_China_(%2Ball_claims_hatched).svg
Funafuti,,,Funafuti,
Fuzhou,Fujian,China,"Fuzhou, Fujian, China",https://en.wikipedia.org/wiki/File:Fujian_in_China_(%2Ball_claims_hatched).svg
Gaborone,,,Gaborone,
Galmudug,Somalia,,"Galmudug, Somalia",https://en.wikipedia.org/wiki/File:Galmudugmap.png
Gandhinagar,Gujarat,India,"Gandhinagar, Gujarat, India",https://en.wikipedia.org/wiki/File:Gujarat_in_India.svg
Gansu,China,,"Gansu, China",https://en.wikipedia.org/wiki/File:Gansu_in_China_(%2Ball_claims_hatched).svg
Gao,Gao Region,Mali,"Gao, Gao Region, Mali",https://en.wikipedia.org/wiki/File:Gao_in_Mali_2012.svg
Gao Region,Mali,,"Gao Region, Mali",https://en.wikipedia.org/wiki/File:Gao_in_Mali_2012.svg
Garoowe,Puntland,Somalia,"Garoowe, Puntland, Somalia",https://en.wikipedia.org/wiki/File:Puntland_State_of_Somalia.svg
Gatchina,Leningrad,Russia,"Gatchina, Leningrad, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Leningrad_Oblast.svg
Gaza,,,Gaza,
Georgia,United States,,"Georgia, United States",https://en.wikipedia.org/wiki/File:Georgia_in_United_States.svg
Ghanzi,Ghanzi District,Botswana,"Ghanzi, Ghanzi District, Botswana",https://en.wikipedia.org/wiki/File:Botswana_-_Ghanzi.svg
Ghanzi District,Botswana,,"Ghanzi District, Botswana",https://en.wikipedia.org/wiki/File:Botswana_-_Ghanzi.svg
Gibraltar,,,Gibraltar,
Glace Bay,,,Glace Bay,
Gobabis,Omaheke,Namibia,"Gobabis, Omaheke, Namibia",https://en.wikipedia.org/wiki/File:Omaheke_in_Namibia.svg
Goiania,Goias,Brazil,"Goiania, Goias, Brazil",https://en.wikipedia.org/wiki/File:Goias_in_Brazil.svg
Goias,Brazil,,"Goias, Brazil",https://en.wikipedia.org/wiki/File:Goias_in_Brazil.svg
Gorno-Altaysk,Altai Republic,Russia,"Gorno-Altaysk, Altai Republic, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Altai_Republic_(Crimea_disputed).svg
Govi-Altai,Mongolia,,"Govi-Altai, Mongolia",https://en.wikipedia.org/wiki/File:Govi-Altai_in_Mongolia.svg
Gqeberha,Eastern Cape,South Africa,"Gqeberha, Eastern Cape, South Africa",https://en.wikipedia.org/wiki/File:Eastern_Cape_in_South_Africa.svg
Grand Turk,,,Grand Turk,
Greenland,Danish Realm,,"Greenland, Danish Realm",https://en.wikipedia.org/wiki/File:Greenland_in_the_Kingdom_of_Denmark_(globe_zoom).svg
Grenada,,,Grenada,
Guadalcanal,,,Guadalcanal,
Guadeloupe,,,Guadeloupe,
Guam,,,Guam,
Guangdong,China,,"Guangdong, China",https://en.wikipedia.org/wiki/File:Guangdong_in_China_(%2Ball_claims_hatched).svg
Guangxi,China,,"Guangxi, China",https://en.wikipedia.org/wiki/File:Guangxi_in_China_(%2Ball_claims_hatched).svg
Guangzhou,Guangdong,China,"Guangzhou, Guangdong, China",https://en.wikipedia.org/wiki/File:Guangdong_in_China_(%2Ball_claims_hatched).svg
Guatemala,,,Guatemala,
Guayaquil,,,Guayaquil,
Guernsey,,,Guernsey,
Guiyang,Guizhou,China,"Guiyang, Guizhou, China",https://en.wikipedia.org/wiki/File:Guizhou_in_China_(%2Ball_claims_hatched).svg
Guizhou,China,,"Guizhou, China",https://en.wikipedia.org/wiki/File:Guizhou_in_China_(%2Ball_claims_hatched).svg
Gujarat,India,,"Gujarat, India",https://en.wikipedia.org/wiki/File:Gujarat_in_India.svg
Guyana,,,Guyana,
Hadramout,Yemen,,"Hadramout, Yemen",https://en.wikipedia.org/wiki/File:Hadramaut_in_Yemen.svg
Hail,Saudi Arabia,,"Hail, Saudi Arabia",https://en.wikipedia.org/wiki/File:Ha%27il_in_Saudi_Arabia.svg
Halifax,,,Halifax,
Hangzhou,Zhejiang,China,"Hangzhou, Zhejiang, China",https://en.wikipedia.org/wiki/File:Zhejiang_in_China_(%2Ball_claims_hatched).svg
Harare,,,Harare,
Harbin,Heilongjiang,China,"Harbin, Heilongjiang, China",https://en.wikipedia.org/wiki/File:Heilongjiang_in_China_(%2Ball_claims_hatched).svg
Hardap,Namibia,,"Hardap, Namibia",https://en.wikipedia.org/wiki/File:Hardap_in_Namibia.svg
Hargeisa,Somaliland,Somalia(de jure),"Hargeisa, Somaliland, Somalia(de jure)",https://en.wikipedia.org/wiki/File:Somaliland_in_its_region_(less_biased).svg
Harrisburg,Pennsylvania,United States,"Harrisburg, Pennsylvania, United States",https://en.wikipedia.org/wiki/File:Pennsylvania_in_United_States.svg
Haute-Kotto,Central African Republic,,"Haute-Kotto, Central African Republic",https://en.wikipedia.org/wiki/File:Central_African_Republic_-_Haute-Kotto.svg
Haut-Katanga,Congo-Kinshasa,,"Haut-Katanga, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Haut-Katanga.svg
Haut-Lomami,Congo-Kinshasa,,"Haut-Lomami, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Haut-Lomami.svg
Haut-Uele,Congo-Kinshasa,,"Haut-Uele, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Haut-Uele.svg
Havana,,,Havana,
Hebei,China,,"Hebei, China",https://en.wikipedia.org/wiki/File:Hebei_in_China_(%2Ball_claims_hatched).svg
Hebron,,,Hebron,
Hefei,Anhui,China,"Hefei, Anhui, China",https://en.wikipedia.org/wiki/File:Anhui_in_China_(%2Ball_claims_hatched).svg
Heilongjiang,China,,"Heilongjiang, China",https://en.wikipedia.org/wiki/File:Heilongjiang_in_China_(%2Ball_claims_hatched).svg
Helena,Montana,United States,"Helena, Montana, United States",https://en.wikipedia.org/wiki/File:Montana_in_United_States.svg
Helsinki,,,Helsinki,
Henan,China,,"Henan, China",https://en.wikipedia.org/wiki/File:Henan_in_China_(%2Ball_claims_hatched).svg
Hermosillo,Sonora,Mexico,"Hermosillo, Sonora, Mexico",https://en.wikipedia.org/wiki/File:Sonora_in_Mexico_(location_map_scheme).svg
Hirshabelle,Somalia,,"Hirshabelle, Somalia",https://en.wikipedia.org/wiki/File:Location_Hirshabelle.png
Ho Chi Minh,,,Ho Chi Minh,
Hobart,Tasmania,Australia,"Hobart, Tasmania, Australia",https://en.wikipedia.org/wiki/File:Tasmania_in_Australia.svg
Hodh Ech Chargui,Mauritania,,"Hodh Ech Chargui, Mauritania",https://en.wikipedia.org/wiki/File:Hodh_Ech_Chargui_in_Mauritania.svg
Hohhot,Inner Mongolia,China,"Hohhot, Inner Mongolia, China",https://en.wikipedia.org/wiki/File:Inner_Mongolia_in_China_(%2Ball_claims_hatched).svg
Hokkaido,Japan,,"Hokkaido, Japan",https://en.wikipedia.org/wiki/File:Hokkaido_in_Japan_(claimed_hatched).svg
Hong Kong,,,Hong Kong,
Honolulu,,,Honolulu,
Houston,Texas,United States,"Houston, Texas, United States",https://en.wikipedia.org/wiki/File:Texas_in_United_States.svg
Hovd,,,Hovd,
Hubei,China,,"Hubei, China",https://en.wikipedia.org/wiki/File:Hubei_in_China_(%2Ball_claims_hatched).svg
Hun,Jufra,Libya,"Hun, Jufra, Libya",https://en.wikipedia.org/wiki/File:Jufra_in_Libya.svg
Hunan,China,,"Hunan, China",https://en.wikipedia.org/wiki/File:Hunan_in_China_(%2Ball_claims_hatched).svg
Hurghada,Red Sea Governorate,Egypt,"Hurghada, Red Sea Governorate, Egypt",https://en.wikipedia.org/wiki/File:Red_Sea_in_Egypt_(de-facto_only_hatched).svg
Hyderabad,Telangana,India,"Hyderabad, Telangana, India",https://en.wikipedia.org/wiki/File:Telangana_in_India.svg
Idaho,United States,,"Idaho, United States",https://en.wikipedia.org/wiki/File:Idaho_in_United_States.svg
Illinois,United States,,"Illinois, United States",https://en.wikipedia.org/wiki/File:Illinois_in_United_States.svg
Illizi,Illizi Province,Algeria,"Illizi, Illizi Province, Algeria",https://en.wikipedia.org/wiki/File:Illizi_in_Algeria_2019.svg
Illizi Province,Algeria,,"Illizi Province, Algeria",https://en.wikipedia.org/wiki/File:Illizi_in_Algeria_2019.svg
In Guezzam,In Guezzam Province,Algeria,"In Guezzam, In Guezzam Province, Algeria",https://en.wikipedia.org/wiki/File:In_Guezzam_in_Algeria_2019.svg
In Guezzam Province,Algeria,,"In Guezzam Province, Algeria",https://en.wikipedia.org/wiki/File:In_Guezzam_in_Algeria_2019.svg
In Salah,In Salah Province,Algeria,"In Salah, In Salah Province, Algeria",https://en.wikipedia.org/wiki/File:In_Salah_in_Algeria_2019.svg
In Salah Province,Algeria,,"In Salah Province, Algeria",https://en.wikipedia.org/wiki/File:In_Salah_in_Algeria_2019.svg
India,,,India,
Indiana,United States,,"Indiana, United States",https://en.wikipedia.org/wiki/File:Indiana_in_United_States.svg
Indianapolis,Indiana,United States,"Indianapolis, Indiana, United States",https://en.wikipedia.org/wiki/File:Indiana_in_United_States.svg
Indonesia,,,Indonesia,
Indore,Madhya Pradesh,India,"Indore, Madhya Pradesh, India",https://en.wikipedia.org/wiki/File:Madhya_Pradesh_in_India.svg
Inner Mongolia,China,,"Inner Mongolia, China",https://en.wikipedia.org/wiki/File:Inner_Mongolia_in_China_(%2Ball_claims_hatched).svg
Inongo,Mai-Ndombe,Congo-Kinshasa,"Inongo, Mai-Ndombe, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Mai-Ndombe.svg
Iowa,United States,,"Iowa, United States",https://en.wikipedia.org/wiki/File:Iowa_in_United_States.svg
Iqaluit,Nunavut,Canada,"Iqaluit, Nunavut, Canada",https://en.wikipedia.org/wiki/File:Nunavut_in_Canada_2.svg
Iquitos,Loreto,Peru,"Iquitos, Loreto, Peru",https://en.wikipedia.org/wiki/File:Peru_-_Loreto_Department_(locator_map).svg
Iran,,,Iran,
Iraq,,,Iraq,
Irkutsk,Irkutsk Oblast,Russia,"Irkutsk, Irkutsk Oblast, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Irkutsk_Oblast.svg
Irkutsk Oblast,Russia,,"Irkutsk Oblast, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Irkutsk_Oblast.svg
Isfahan,Isfahan Province,Iran,"Isfahan, Isfahan Province, Iran",https://en.wikipedia.org/wiki/File:IranEsfahan-SVG.svg
Isfahan Province,Iran,,"Isfahan Province, Iran",https://en.wikipedia.org/wiki/File:IranEsfahan-SVG.svg
Isiro,Haut-Uele,Congo-Kinshasa,"Isiro, Haut-Uele, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Haut-Uele.svg
Isle of Man,,,Isle of Man,
Istanbul,,,Istanbul,
Itanagar,Arunachal Pradesh,India,"Itanagar, Arunachal Pradesh, India",https://en.wikipedia.org/wiki/File:Arunachal_Pradesh_in_India.svg
Jackson,Mississippi,United States,"Jackson, Mississippi, United States",https://en.wikipedia.org/wiki/File:Mississippi_in_United_States.svg
Jacksonville,Florida,United States,"Jacksonville, Florida, United States",https://en.wikipedia.org/wiki/File:Florida_in_United_States.svg
Jaipur,Rajasthan,India,"Jaipur, Rajasthan, India",https://en.wikipedia.org/wiki/File:Rajasthan_in_India.svg
Jakarta,,,Jakarta,
Jamaica,,,Jamaica,
Jambyl,Kazakhstan,,"Jambyl, Kazakhstan",https://en.wikipedia.org/wiki/File:Jambyl_in_Kazakhstan.svg
Japan,,,Japan,
Jayapura,Papua,Indonesia,"Jayapura, Papua, Indonesia",https://en.wikipedia.org/wiki/File:Province_of_Papua_in_Indonesia.svg
Jeddah,Mecca Province,Saudi Arabia,"Jeddah, Mecca Province, Saudi Arabia",https://en.wikipedia.org/wiki/File:Makkah_in_Saudi_Arabia.svg
Jefferson City,Missouri,United States,"Jefferson City, Missouri, United States",https://en.wikipedia.org/wiki/File:Missouri_in_United_States.svg
Jersey,,,Jersey,
Jerusalem,,,Jerusalem,
Jetisu,Kazakhstan,,"Jetisu, Kazakhstan",https://en.wikipedia.org/wiki/File:Jetisu_in_Kazakhstan.svg
Jezkazgan,Ulytau,Kazakhstan,"Jezkazgan, Ulytau, Kazakhstan",https://en.wikipedia.org/wiki/File:Ulytau_in_Kazakhstan.svg
Jiangsu,China,,"Jiangsu, China",https://en.wikipedia.org/wiki/File:Jiangsu_in_China_(%2Ball_claims_hatched).svg
Jiangxi,China,,"Jiangxi, China",https://en.wikipedia.org/wiki/File:Jiangxi_in_China_(%2Ball_claims_hatched).svg
Jijiga,Somali,Ethiopia,"Jijiga, Somali, Ethiopia",https://en.wikipedia.org/wiki/File:Somali_Region_Map.svg
Jilin,China,,"Jilin, China",https://en.wikipedia.org/wiki/File:Jilin_in_China_(%2Ball_claims_hatched).svg
Jinan,Shandong,China,"Jinan, Shandong, China",https://en.wikipedia.org/wiki/File:Shandong_in_China_(%2Ball_claims_hatched).svg
Johannesburg,,,Johannesburg,
Joinville,Santa Catarina,Brazil,"Joinville, Santa Catarina, Brazil",https://en.wikipedia.org/wiki/File:Santa_Catarina_in_Brazil.svg
Jonglei,South Sudan,,"Jonglei, South Sudan",https://en.wikipedia.org/wiki/File:Jonglei_in_South_Sudan_2015.svg
Jowhar,Hirshabelle,Somalia,"Jowhar, Hirshabelle, Somalia",https://en.wikipedia.org/wiki/File:Location_Hirshabelle.png
Juba,,,Juba,
Jubaland,Somalia,,"Jubaland, Somalia",https://en.wikipedia.org/wiki/File:Jubaland_State_of_Somalia.svg
Jufra,Libya,,"Jufra, Libya",https://en.wikipedia.org/wiki/File:Jufra_in_Libya.svg
Jujuy,Argentina,,"Jujuy, Argentina",
Juneau,Alaska,United States,"Juneau, Alaska, United States",https://en.wikipedia.org/wiki/File:Alaska_in_United_States_(US50).svg
Kabul,,,Kabul,
Kabwe,Central,Zambia,"Kabwe, Central, Zambia",https://en.wikipedia.org/wiki/File:Central_in_Zambia.svg
Kachin,Myanmar,,"Kachin, Myanmar",https://en.wikipedia.org/wiki/File:Kachin_State_in_Myanmar.svg
Kalemie,Tanganyika,Congo-Kinshasa,"Kalemie, Tanganyika, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Tanganyika.svg
Kaliningrad,,,Kaliningrad,
Kamchatka,Russia,,"Kamchatka, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Kamchatka_Krai_(Crimea_disputed).svg
Kamina,Haut-Lomami,Congo-Kinshasa,"Kamina, Haut-Lomami, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Haut-Lomami.svg
Kampala,,,Kampala,
Kansas,United States,,"Kansas, United States",https://en.wikipedia.org/wiki/File:Kansas_in_United_States.svg
Kansas City,Missouri,United States,"Kansas City, Missouri, United States",https://en.wikipedia.org/wiki/File:Missouri_in_United_States.svg
Karachi,Sindh,Pakistan,"Karachi, Sindh, Pakistan",https://en.wikipedia.org/wiki/File:Sindh_in_Pakistan_(claims_hatched).svg
Karaganda,Karaganda Region,Kazakhstan,"Karaganda, Karaganda Region, Kazakhstan",https://en.wikipedia.org/wiki/File:Karagandy_in_Kazakhstan.svg
Karaganda Region,Kazakhstan,,"Karaganda Region, Kazakhstan",https://en.wikipedia.org/wiki/File:Karagandy_in_Kazakhstan.svg
Karakalpakstan,Uzbekistan,,"Karakalpakstan, Uzbekistan",https://en.wikipedia.org/wiki/File:Qaraqalpaqstan_Respublikasi_in_Uzbekistan.svg
Karas,Namibia,,"Karas, Namibia",https://en.wikipedia.org/wiki/File:%C7%81Karas_in_Namibia.svg
Karelia,Russia,,"Karelia, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Karelia.svg
Karnataka,India,,"Karnataka, India",https://en.wikipedia.org/wiki/File:Karnataka_in_India.svg
Kasai,Congo-Kinshasa,,"Kasai, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Kasa%C3%AF.svg
Kathmandu,,,Kathmandu,
Kayes,Kayes Region,Mali,"Kayes, Kayes Region, Mali",https://en.wikipedia.org/wiki/File:Kayes_in_Mali_2012.svg
Kayes Region,Mali,,"Kayes Region, Mali",https://en.wikipedia.org/wiki/File:Kayes_in_Mali_2012.svg
Kazakhstan,,,Kazakhstan,
Keetmanshoop,Karas,Namibia,"Keetmanshoop, Karas, Namibia",https://en.wikipedia.org/wiki/File:%C7%81Karas_in_Namibia.svg
Kemerovo,Kemerovo Oblast,Russia,"Kemerovo, Kemerovo Oblast, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Kemerovo_Oblast_(Crimea_disputed).svg
Kemerovo Oblast,Russia,,"Kemerovo Oblast, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Kemerovo_Oblast_(Crimea_disputed).svg
Kenge,Kwango,Congo-Kinshasa,"Kenge, Kwango, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Kwango.svg
Kentucky,United States,,"Kentucky, United States",https://en.wikipedia.org/wiki/File:Kentucky_in_United_States.svg
Kenya,,,Kenya,
Kerguelen,,,Kerguelen,
Kerman,Iran,,"Kerman, Iran",https://en.wikipedia.org/wiki/File:Kerman_in_Iran.svg
Kgalagadi,Botswana,,"Kgalagadi, Botswana",https://en.wikipedia.org/wiki/File:Botswana_-_Kgalagadi.svg
Khabarovsk,Khabarovsk Krai,Russia,"Khabarovsk, Khabarovsk Krai, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Khabarovsk_Krai.svg
Khabarovsk Krai,Russia,,"Khabarovsk Krai, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Khabarovsk_Krai.svg
Khantia-Mansia,Russia,,"Khantia-Mansia, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Khanty-Mansi_Autonomous_Okrug.svg
Khanty-Mansiysk,Khantia-Mansia,Russia,"Khanty-Mansiysk, Khantia-Mansia, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Khanty-Mansi_Autonomous_Okrug.svg
Kharga,New Valley,Egypt,"Kharga, New Valley, Egypt",https://en.wikipedia.org/wiki/File:New_Valley_in_Egypt.svg
Khartoum,,,Khartoum,
Khentii,Mongolia,,"Khentii, Mongolia",https://en.wikipedia.org/wiki/File:Khentii_in_Mongolia.svg
Khovsgol,Mongolia,,"Khovsgol, Mongolia",https://en.wikipedia.org/wiki/File:Kh%C3%B6vsg%C3%B6l_in_Mongolia.svg
Khyber Pakhtunkhwa,Pakistan,,"Khyber Pakhtunkhwa, Pakistan",https://en.wikipedia.org/wiki/File:Khyber_Pakhtunkhwa_in_Pakistan_(claims_hatched).svg
Kidal,Mali,,"Kidal, Mali",https://en.wikipedia.org/wiki/File:Mali_-_Kidal.svg
Kigali,,,Kigali,
Kimberley,Northern Cape,South Africa,"Kimberley, Northern Cape, South Africa",https://en.wikipedia.org/wiki/File:Northern_Cape_in_South_Africa.svg
Kindu,Maniema,Congo-Kinshasa,"Kindu, Maniema, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Maniema.svg
Kinshasa,,,Kinshasa,
Kirov,Kirov Oblast,Russia,"Kirov, Kirov Oblast, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Kirov_Oblast.svg
Kirov Oblast,Russia,,"Kirov Oblast, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Kirov_Oblast.svg
Kisangani,Tshopo,Congo-Kinshasa,"Kisangani, Tshopo, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Tshopo.svg
Kismayo,Jubaland,Somalia,"Kismayo, Jubaland, Somalia",https://en.wikipedia.org/wiki/File:Jubaland_State_of_Somalia.svg
Kokshetau,Akmola,Kazakhstan,"Kokshetau, Akmola, Kazakhstan",https://en.wikipedia.org/wiki/File:Akmola_in_Kazakhstan.svg
Kolkata,West Bengal,India,"Kolkata, West Bengal, India",https://en.wikipedia.org/wiki/File:West_Bengal_in_India.svg
Kolwezi,Lualaba,Congo-Kinshasa,"Kolwezi, Lualaba, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Lualaba.svg
Komi,Russia,,"Komi, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Komi_(Crimea_disputed).svg
Kostanay,Kostanay Region,Kazakhstan,"Kostanay, Kostanay Region, Kazakhstan",https://en.wikipedia.org/wiki/File:Kostanay_in_Kazakhstan.svg
Kostanay Region,Kazakhstan,,"Kostanay Region, Kazakhstan",https://en.wikipedia.org/wiki/File:Kostanay_in_Kazakhstan.svg
Koulikoro,Koulikoro Region,Mali,"Koulikoro, Koulikoro Region, Mali",https://en.wikipedia.org/wiki/File:Koulikoro_in_Mali_2012.svg
Koulikoro Region,Mali,,"Koulikoro Region, Mali",https://en.wikipedia.org/wiki/File:Koulikoro_in_Mali_2012.svg
Kralendijk,,,Kralendijk,
Krasnoyarsk,Krasnoyarsk Krai,Russia,"Krasnoyarsk, Krasnoyarsk Krai, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Krasnoyarsk_Krai.svg
Krasnoyarsk Krai,Russia,,"Krasnoyarsk Krai, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Krasnoyarsk_Krai.svg
Kuala Lumpur,,,Kuala Lumpur,
Kuching,Sarawak,Malaysia,"Kuching, Sarawak, Malaysia",https://en.wikipedia.org/wiki/File:Sarawak_in_Malaysia.svg
Kufra,Libya,,"Kufra, Libya",https://en.wikipedia.org/wiki/File:Kufra_in_Libya.svg
Kunene,Namibia,,"Kunene, Namibia",https://en.wikipedia.org/wiki/File:Kunene_in_Namibia.svg
Kunming,Yunnan,China,"Kunming, Yunnan, China",https://en.wikipedia.org/wiki/File:Yunnan_in_China_(%2Ball_claims_hatched).svg
Kuwait,,,Kuwait,
Kwamalasamutu,Sipaliwini,Suriname,"Kwamalasamutu, Sipaliwini, Suriname",https://en.wikipedia.org/wiki/File:Sipaliwini_in_Suriname_(%2Bclaims)_(hatched).svg
Kwango,Congo-Kinshasa,,"Kwango, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Kwango.svg
KwaZulu-Natal,South Africa,,"KwaZulu-Natal, South Africa",https://en.wikipedia.org/wiki/File:KwaZulu-Natal_in_South_Africa.svg
Kyiv,,,Kyiv,
Kyzyl,Tuva,Russia,"Kyzyl, Tuva, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Tuva.svg
